id,bill length (mm),bill depth (mm),flipper length (mm),body mass (g),species,sex,island,year
1,39.1,18.7,181,3750,Adelie,male,Torgersen,2007
2,39.5,17.4,186,3800,Adelie,female,Torgersen,2007
3,40.3,18,195,3250,Adelie,female,Torgersen,2007
4,NA,NA,NA,NA,Adelie,NA,Torgersen,2007
5,36.7,19.3,193,3450,Adelie,female,Torgersen,2007
6,39.3,20.6,190,3650,Adelie,male,Torgersen,2007
7,38.9,17.8,181,3625,Adelie,female,Torgersen,2007
8,39.2,19.6,195,4675,Adelie,male,Torgersen,2007
9,34.1,18.1,193,3475,Adelie,NA,Torgersen,2007
10,42,20.2,190,4250,Adelie,NA,Torgersen,2007
11,37.8,17.1,186,3300,Adelie,NA,Torgersen,2007
12,37.8,17.3,180,3700,Adelie,NA,Torgersen,2007
13,41.1,17.6,182,3200,Adelie,female,Torgersen,2007
14,38.6,21.2,191,3800,Adelie,male,Torgersen,2007
15,34.6,21.1,198,4400,Adelie,male,Torgersen,2007
16,36.6,17.8,185,3700,Adelie,female,Torgersen,2007
17,38.7,19,195,3450,Adelie,female,Torgersen,2007
18,42.5,20.7,197,4500,Adelie,male,Torgersen,2007
19,34.4,18.4,184,3325,Adelie,female,Torgersen,2007
20,46,21.5,194,4200,Adelie,male,Torgersen,2007
21,37.8,18.3,174,3400,Adelie,female,Biscoe,2007
22,37.7,18.7,180,3600,Adelie,male,Biscoe,2007
23,35.9,19.2,189,3800,Adelie,female,Biscoe,2007
24,38.2,18.1,185,3950,Adelie,male,Biscoe,2007
25,38.8,17.2,180,3800,Adelie,male,Biscoe,2007
26,35.3,18.9,187,3800,Adelie,female,Biscoe,2007
27,40.6,18.6,183,3550,Adelie,male,Biscoe,2007
28,40.5,17.9,187,3200,Adelie,female,Biscoe,2007
29,37.9,18.6,172,3150,Adelie,female,Biscoe,2007
30,40.5,18.9,180,3950,Adelie,male,Biscoe,2007
31,39.5,16.7,178,3250,Adelie,female,Dream,2007
32,37.2,18.1,178,3900,Adelie,male,Dream,2007
33,39.5,17.8,188,3300,Adelie,female,Dream,2007
34,40.9,18.9,184,3900,Adelie,male,Dream,2007
35,36.4,17,195,3325,Adelie,female,Dream,2007
36,39.2,21.1,196,4150,Adelie,male,Dream,2007
37,38.8,20,190,3950,Adelie,male,Dream,2007
38,42.2,18.5,180,3550,Adelie,female,Dream,2007
39,37.6,19.3,181,3300,Adelie,female,Dream,2007
40,39.8,19.1,184,4650,Adelie,male,Dream,2007
41,36.5,18,182,3150,Adelie,female,Dream,2007
42,40.8,18.4,195,3900,Adelie,male,Dream,2007
43,36,18.5,186,3100,Adelie,female,Dream,2007
44,44.1,19.7,196,4400,Adelie,male,Dream,2007
45,37,16.9,185,3000,Adelie,female,Dream,2007
46,39.6,18.8,190,4600,Adelie,male,Dream,2007
47,41.1,19,182,3425,Adelie,male,Dream,2007
48,37.5,18.9,179,2975,Adelie,NA,Dream,2007
49,36,17.9,190,3450,Adelie,female,Dream,2007
50,42.3,21.2,191,4150,Adelie,male,Dream,2007
51,39.6,17.7,186,3500,Adelie,female,Biscoe,2008
52,40.1,18.9,188,4300,Adelie,male,Biscoe,2008
53,35,17.9,190,3450,Adelie,female,Biscoe,2008
54,42,19.5,200,4050,Adelie,male,Biscoe,2008
55,34.5,18.1,187,2900,Adelie,female,Biscoe,2008
56,41.4,18.6,191,3700,Adelie,male,Biscoe,2008
57,39,17.5,186,3550,Adelie,female,Biscoe,2008
58,40.6,18.8,193,3800,Adelie,male,Biscoe,2008
59,36.5,16.6,181,2850,Adelie,female,Biscoe,2008
60,37.6,19.1,194,3750,Adelie,male,Biscoe,2008
61,35.7,16.9,185,3150,Adelie,female,Biscoe,2008
62,41.3,21.1,195,4400,Adelie,male,Biscoe,2008
63,37.6,17,185,3600,Adelie,female,Biscoe,2008
64,41.1,18.2,192,4050,Adelie,male,Biscoe,2008
65,36.4,17.1,184,2850,Adelie,female,Biscoe,2008
66,41.6,18,192,3950,Adelie,male,Biscoe,2008
67,35.5,16.2,195,3350,Adelie,female,Biscoe,2008
68,41.1,19.1,188,4100,Adelie,male,Biscoe,2008
69,35.9,16.6,190,3050,Adelie,female,Torgersen,2008
70,41.8,19.4,198,4450,Adelie,male,Torgersen,2008
71,33.5,19,190,3600,Adelie,female,Torgersen,2008
72,39.7,18.4,190,3900,Adelie,male,Torgersen,2008
73,39.6,17.2,196,3550,Adelie,female,Torgersen,2008
74,45.8,18.9,197,4150,Adelie,male,Torgersen,2008
75,35.5,17.5,190,3700,Adelie,female,Torgersen,2008
76,42.8,18.5,195,4250,Adelie,male,Torgersen,2008
77,40.9,16.8,191,3700,Adelie,female,Torgersen,2008
78,37.2,19.4,184,3900,Adelie,male,Torgersen,2008
79,36.2,16.1,187,3550,Adelie,female,Torgersen,2008
80,42.1,19.1,195,4000,Adelie,male,Torgersen,2008
81,34.6,17.2,189,3200,Adelie,female,Torgersen,2008
82,42.9,17.6,196,4700,Adelie,male,Torgersen,2008
83,36.7,18.8,187,3800,Adelie,female,Torgersen,2008
84,35.1,19.4,193,4200,Adelie,male,Torgersen,2008
85,37.3,17.8,191,3350,Adelie,female,Dream,2008
86,41.3,20.3,194,3550,Adelie,male,Dream,2008
87,36.3,19.5,190,3800,Adelie,male,Dream,2008
88,36.9,18.6,189,3500,Adelie,female,Dream,2008
89,38.3,19.2,189,3950,Adelie,male,Dream,2008
90,38.9,18.8,190,3600,Adelie,female,Dream,2008
91,35.7,18,202,3550,Adelie,female,Dream,2008
92,41.1,18.1,205,4300,Adelie,male,Dream,2008
93,34,17.1,185,3400,Adelie,female,Dream,2008
94,39.6,18.1,186,4450,Adelie,male,Dream,2008
95,36.2,17.3,187,3300,Adelie,female,Dream,2008
96,40.8,18.9,208,4300,Adelie,male,Dream,2008
97,38.1,18.6,190,3700,Adelie,female,Dream,2008
98,40.3,18.5,196,4350,Adelie,male,Dream,2008
99,33.1,16.1,178,2900,Adelie,female,Dream,2008
100,43.2,18.5,192,4100,Adelie,male,Dream,2008
101,35,17.9,192,3725,Adelie,female,Biscoe,2009
102,41,20,203,4725,Adelie,male,Biscoe,2009
103,37.7,16,183,3075,Adelie,female,Biscoe,2009
104,37.8,20,190,4250,Adelie,male,Biscoe,2009
105,37.9,18.6,193,2925,Adelie,female,Biscoe,2009
106,39.7,18.9,184,3550,Adelie,male,Biscoe,2009
107,38.6,17.2,199,3750,Adelie,female,Biscoe,2009
108,38.2,20,190,3900,Adelie,male,Biscoe,2009
109,38.1,17,181,3175,Adelie,female,Biscoe,2009
110,43.2,19,197,4775,Adelie,male,Biscoe,2009
111,38.1,16.5,198,3825,Adelie,female,Biscoe,2009
112,45.6,20.3,191,4600,Adelie,male,Biscoe,2009
113,39.7,17.7,193,3200,Adelie,female,Biscoe,2009
114,42.2,19.5,197,4275,Adelie,male,Biscoe,2009
115,39.6,20.7,191,3900,Adelie,female,Biscoe,2009
116,42.7,18.3,196,4075,Adelie,male,Biscoe,2009
117,38.6,17,188,2900,Adelie,female,Torgersen,2009
118,37.3,20.5,199,3775,Adelie,male,Torgersen,2009
119,35.7,17,189,3350,Adelie,female,Torgersen,2009
120,41.1,18.6,189,3325,Adelie,male,Torgersen,2009
121,36.2,17.2,187,3150,Adelie,female,Torgersen,2009
122,37.7,19.8,198,3500,Adelie,male,Torgersen,2009
123,40.2,17,176,3450,Adelie,female,Torgersen,2009
124,41.4,18.5,202,3875,Adelie,male,Torgersen,2009
125,35.2,15.9,186,3050,Adelie,female,Torgersen,2009
126,40.6,19,199,4000,Adelie,male,Torgersen,2009
127,38.8,17.6,191,3275,Adelie,female,Torgersen,2009
128,41.5,18.3,195,4300,Adelie,male,Torgersen,2009
129,39,17.1,191,3050,Adelie,female,Torgersen,2009
130,44.1,18,210,4000,Adelie,male,Torgersen,2009
131,38.5,17.9,190,3325,Adelie,female,Torgersen,2009
132,43.1,19.2,197,3500,Adelie,male,Torgersen,2009
133,36.8,18.5,193,3500,Adelie,female,Dream,2009
134,37.5,18.5,199,4475,Adelie,male,Dream,2009
135,38.1,17.6,187,3425,Adelie,female,Dream,2009
136,41.1,17.5,190,3900,Adelie,male,Dream,2009
137,35.6,17.5,191,3175,Adelie,female,Dream,2009
