run,missingness,method,ari,nmi,acc
0,0,mean,0.7109914831780513,0.7815283042382077,0.7803666666666667
0,2,mean,0.7507773866965399,0.8093225135738379,0.8032666666666667
0,4,mean,0.7354785986503576,0.7948029327157031,0.7910666666666667
0,6,mean,0.6518686067106847,0.7305320466484239,0.75845
0,8,mean,0.7466442336732843,0.8075814148774656,0.80475
0,10,mean,0.6178421633238197,0.7122360177082805,0.7334166666666667
0,12,mean,0.703121732136582,0.7707555460724342,0.7769333333333334
0,14,mean,-4.892841039314835e-05,0.002750335588455057,0.11133333333333334
0,16,mean,-0.00012937137711854294,0.013027166463322483,0.10908333333333334
0,18,mean,0.42769092244716744,0.5699355707123676,0.5720666666666666
0,20,mean,0.4255895327269109,0.5487891450277287,0.5746
0,22,mean,0.3987783394569675,0.5449380079640139,0.5635166666666667
0,24,mean,0.05620788624073624,0.10932938482893578,0.1966
1,0,mean,0.7848659919348133,0.8343508300576528,0.8216666666666667
1,2,mean,0.7015974500344649,0.7784970946143508,0.78495
1,4,mean,0.7696982880067292,0.8142545641688876,0.8469
1,6,mean,0.6337998302209945,0.7187103004225401,0.7456833333333334
1,8,mean,0.7444487135988721,0.7988539680530504,0.7997333333333333
1,10,mean,0.11849675741706478,0.14473966300611296,0.2516
1,12,mean,0.6718557575175967,0.7479661079465459,0.7648333333333334
1,14,mean,0.5738873407942253,0.6799822421658542,0.6946833333333333
1,16,mean,0.07505279615582712,0.10377565943622868,0.20796666666666666
1,18,mean,0.10661831566250121,0.15781136117123556,0.2521333333333333
1,20,mean,0.0941063580974266,0.09772357744413886,0.21473333333333333
1,22,mean,0.06738291859580932,0.10773150051094244,0.20445
1,24,mean,0.05887030285103031,0.08951701528561805,0.20195
2,0,mean,0.7479698180834643,0.8125130303346031,0.8014666666666667
2,2,mean,0.7386995031051892,0.8038541698917514,0.8062166666666667
2,4,mean,0.7380737450481838,0.7997881609198931,0.8021166666666667
2,6,mean,0.6554887075960013,0.7287652518731004,0.75805
2,8,mean,0.6368431784346763,0.7279908903344215,0.74405
2,10,mean,0.6655943654904971,0.7470455437275033,0.7654666666666666
2,12,mean,0.6358780711436263,0.7191112456597185,0.7312833333333333
2,14,mean,0.10102654159662944,0.11003370597540651,0.236
